ZIPCode,P1_001N
19943,10441
19735,0
19901,0
19901,32243
19966,30459
19945,11611
19945,0
19710,0
19717,0
19717,0
19717,0
19731,0
19733,0
19963,19332
19973,30354
19931,0
19944,580
19977,0
19977,0
19977,26339
19934,18930
19706,0
19730,0
19716,0
19716,0
19716,0
19716,0
19702,41978
19734,18543
19967,0
19732,0
19956,20393
19947,21728
19701,0
19701,37780
19980,0
19941,0
19936,0
19975,9488
19703,18542
19953,5289
19805,32045
19940,4760
19713,41951
19720,59262
19952,7987
19711,33228
19810,25727
19803,21480
19806,8568
19707,20845
19809,15607
19902,108
19946,0
19950,8456
19951,0
19954,0
19954,5105
19955,0
19958,24631
19962,14384
19971,15735
19930,2300
19938,12761
19801,16908
19804,22692
19709,0
19709,41207
19904,0
19904,0
19904,0
19904,37022
19979,0
19933,4616
19968,20331
19939,11376
19808,37079
19807,0
19807,8225
19964,0
19970,7632
19736,0
19802,27376
19960,9952
